Channel,Province,Gender,Race,Age_Group,Day_Name,Day_Type,Time_Period,Total_Views,Unique_Viewers,Total_Minutes,Total_Hours,Avg_Minutes_Per_View,Max_Session_Minutes,Min_Session_Minutes,High_Engagement_Views,Medium_Engagement_Views,Low_Engagement_Views
Supersport Live Events,Unknown,null,Unknown,55+,Friday,Weekday,Morning,1,1,510,8.5,510,510,510,1,0,0
Cartoon Network,Northern Cape,Male,White,25-34,Tuesday,Weekday,Late Night,1,1,26,0.43,26,26,26,0,0,1
ICC Cricket World Cup 2011,Limpopo,Male,Indian_asian,35-44,Tuesday,Weekday,Afternoon,1,1,438,7.3,438,438,438,1,0,0
Supersport Live Events,Western Cape,Male,Black,18-24,Monday,Weekday,Late Night,1,1,616,10.27,616,616,616,1,0,0
SuperSport Blitz,Unknown,null,Unknown,55+,Friday,Weekday,Afternoon,1,1,28,0.47,28,28,28,0,0,1
ICC Cricket World Cup 2011,Western Cape,Female,Black,Under 18,Friday,Weekday,Afternoon,1,1,156,2.6,156,156,156,1,0,0
Channel O,Limpopo,Male,Black,35-44,Wednesday,Weekday,Afternoon,1,1,1512,25.2,1512,1512,1512,1,0,0
SuperSport Blitz,Gauteng,Male,Black,18-24,Saturday,Weekend,Late Night,1,1,310,5.17,310,310,310,1,0,0
Trace TV,Gauteng,Female,Unknown,25-34,Wednesday,Weekday,Afternoon,1,1,24,0.4,24,24,24,0,0,1
CNN,Gauteng,Male,Black,35-44,Wednesday,Weekday,Afternoon,1,1,361,6.02,361,361,361,1,0,0
SuperSport Blitz,Northern Cape,Male,Black,35-44,Wednesday,Weekday,Night,1,1,28,0.47,28,28,28,0,0,1
Boomerang,Northern Cape,Female,Coloured,Under 18,Wednesday,Weekday,Night,1,1,279,4.65,279,279,279,1,0,0
Supersport Live Events,Limpopo,Male,White,55+,Friday,Weekday,Morning,1,1,24,0.4,24,24,24,0,0,1
E! Entertainment,Gauteng,Female,Black,25-34,Friday,Weekday,Prime Time,1,1,1846,30.77,1846,1846,1846,1,0,0
ICC Cricket World Cup 2011,Eastern Cape,Male,Black,25-34,Sunday,Weekend,Afternoon,1,1,1910,31.83,1910,1910,1910,1,0,0
ICC Cricket World Cup 2011,Eastern Cape,Male,White,35-44,Friday,Weekday,Prime Time,1,1,236,3.93,236,236,236,1,0,0
Cartoon Network,Gauteng,Male,Black,35-44,Saturday,Weekend,Afternoon,1,1,67,1.12,67,67,67,0,1,0
Trace TV,Gauteng,Male,Black,18-24,Wednesday,Weekday,Prime Time,3,3,243,4.05,81,120,39,0,3,0
Supersport Live Events,Western Cape,Male,Coloured,35-44,Thursday,Weekday,Afternoon,6,5,5436,90.6,906,3554,148,6,0,0
ICC Cricket World Cup 2011,KwaZulu-Natal,Male,Indian_asian,25-34,Wednesday,Weekday,Afternoon,8,8,10392,173.2,1299,7084,22,6,1,1
Channel O,Mpumalanga,Male,Coloured,18-24,Wednesday,Weekday,Prime Time,1,1,846,14.1,846,846,846,1,0,0
Trace TV,Limpopo,Male,Indian_asian,35-44,Sunday,Weekend,Late Night,1,1,285,4.75,285,285,285,1,0,0
Trace TV,Western Cape,Male,Unknown,18-24,Sunday,Weekend,Afternoon,2,2,186,3.1,93,105,81,0,2,0
ICC Cricket World Cup 2011,Gauteng,Male,White,18-24,Wednesday,Weekday,Prime Time,2,2,1222,20.37,611,786,436,2,0,0
